,yearDraft,numberPickOverall,numberRound,numberRoundPick,namePlayer,slugTeam,nameOrganizationFrom,typeOrganizationFrom,idPlayer,idTeam,nameTeam
1733,1991.0,34.0,2.0,7.0,Myron Brown,MIN,Slippery Rock,College/University,76277.0,1610612750.0,Minnesota Timberwolves
1734,1991.0,35.0,2.0,8.0,Mike Iuzzolino,DAL,Saint Francis (PA),College/University,77098.0,1610612742.0,Dallas Mavericks
1735,1991.0,36.0,2.0,9.0,Chris Corchiani,ORL,North Carolina State,College/University,76450.0,1610612753.0,Orlando Magic
1736,1991.0,37.0,2.0,10.0,Elliot Perry,LAC,Memphis,College/University,386.0,1610612746.0,Los Angeles Clippers
1737,1991.0,38.0,2.0,11.0,Joe Wylie,LAC,Miami (FL),College/University,83592.0,1610612746.0,Los Angeles Clippers
1738,1991.0,39.0,2.0,12.0,Jimmy Oliver,CLE,Purdue,College/University,1429.0,1610612739.0,Cleveland Cavaliers
1739,1991.0,40.0,2.0,13.0,Doug Overton,DET,La Salle,College/University,77.0,1610612765.0,Detroit Pistons
1740,1991.0,41.0,2.0,14.0,Sean Green,IND,Iona,College/University,76875.0,1610612754.0,Indiana Pacers
1741,1991.0,42.0,2.0,15.0,Steve Hood,SAC,James Madison,College/University,83587.0,1610612758.0,Sacramento Kings
1742,1991.0,43.0,2.0,16.0,Lamont Strothers,GOS,Christopher Newport,College/University,78273.0,1610612744.0,Golden State Warriors
1743,1991.0,44.0,2.0,17.0,Alvaro Teheran,PHL,Houston,College/University,83588.0,1610612755.0,Philadelphia 76ers
1744,1991.0,45.0,2.0,18.0,Bobby Phills,MIL,Southern University,College/University,184.0,1610612749.0,Milwaukee Bucks
1745,1991.0,46.0,2.0,19.0,Richard Dumas,PHX,Oklahoma State,College/University,30.0,1610612756.0,Phoenix Suns
1746,1991.0,47.0,2.0,20.0,Keith Hughes,HOU,Rutgers,College/University,83590.0,1610612745.0,Houston Rockets
1747,1991.0,48.0,2.0,21.0,Ike Austin,UTH,Arizona State,College/University,1134.0,1610612762.0,Utah Jazz
1748,1991.0,49.0,2.0,22.0,Greg Sutton,SAN,Oral Roberts,College/University,357.0,1610612759.0,San Antonio Spurs
1749,1991.0,50.0,2.0,23.0,Joey Wright,PHX,Texas,College/University,83591.0,1610612756.0,Phoenix Suns
1750,1991.0,51.0,2.0,24.0,Zan Tabak,HOU,KK Split,Other Team/Club,440.0,1610612745.0,Houston Rockets
1751,1991.0,52.0,2.0,25.0,Anthony Jones,LAL,Oral Roberts,College/University,83586.0,1610612747.0,Los Angeles Lakers
1752,1991.0,53.0,2.0,26.0,Von McDade,NJN,Milwaukee,College/University,83589.0,1610612751.0,New Jersey Nets
